transaction_id,restaurant_id,order_date,total_amount,tip_amount,items_count
T000214,R013,12/7/25,15.56,0.2,6
T000215,R024,12/27/25,73.4,2.29,12
T000216,R014,12/19/25,17.44,0,13
T000217,R003,12/22/25,59.36,0,10
T000218,R010,12/28/25,20.24,0.8,13
T000219,R006,12/2/25,16.56,0.75,1
T000220,R001,12/10/25,21.74,0,8
T000221,R023,12/13/25,12.55,2.31,10
T000222,R024,12/30/25,48.19,2.05,3
T000223,R027,12/25/25,24.45,0.01,8
T000224,R014,12/21/25,9.25,0.75,12
T000225,R008,12/6/25,80.44,0.92,4
T000226,R019,12/28/25,16.95,0,8
T000227,R014,12/28/25,27.45,0,11
T000228,R010,12/12/25,82.93,2,1
T000229,R017,12/12/25,34.26,0,3
T000230,R009,12/20/25,4.35,0,6
T000231,R029,12/30/25,98.37,0,9
T000232,R006,12/30/25,34.58,0.02,2
T000233,R011,12/11/25,14.27,0.48,11
T000234,R025,12/26/25,5.25,5.21,1
T000235,R007,12/23/25,252.56,0,10
T000236,R017,12/28/25,33.87,5.61,3
T000237,R028,12/25/25,26.68,0.94,4
T000238,R028,12/7/25,78.52,0,11
T000239,R001,12/30/25,54.39,0.83,5
T000240,R022,12/1/25,5.76,0,3
T000241,R005,12/1/25,13.07,0,13
T000242,R009,12/25/25,10,0.18,10
T000243,R018,12/27/25,47.68,0.94,11
T000244,R024,12/30/25,1.19,0.23,2
T000245,R027,12/25/25,29.53,0.69,2
T000246,R021,12/20/25,230.78,0,7
T000247,R002,12/13/25,224.49,1.9,9
T000248,R029,12/9/25,14.65,0,10
T000249,R026,12/3/25,60.26,0,2
T000250,R011,12/7/25,4.1,0.65,7
T000251,R027,12/6/25,65.58,2.69,7
T000252,R028,12/8/25,4.77,3.12,11
T000253,R006,12/27/25,17.72,5.44,7
T000254,R026,12/9/25,55.86,2.71,3
T000255,R008,12/30/25,5.68,0,12
T000256,R004,12/5/25,9.11,1.63,7
T000257,R018,12/1/25,44.84,0.81,1
T000258,R028,12/19/25,44.56,0.51,10
T000259,R011,12/10/25,35.87,1.93,1
T000260,R005,12/12/25,41.44,0.07,5
T000261,R015,12/24/25,27.39,2.44,2
T000262,R028,12/15/25,10.15,0.87,9
T000263,R018,12/27/25,14.85,1.77,7
T000264,R002,12/22/25,23.26,0,4
T000265,R022,12/24/25,83.68,3.95,4
T000266,R011,12/9/25,30.65,1.42,2
T000267,R026,12/20/25,17.93,0,5
T000268,R025,12/17/25,21.7,0,4
T000269,R013,12/30/25,103,0.77,12
T000270,R004,12/17/25,5.83,0,13
T000271,R022,12/26/25,30.89,0,1
T000272,R007,12/20/25,83.04,3.45,12
T000273,R029,12/12/25,33.09,1.6,8
T000274,R011,12/30/25,0.64,0.04,3
T000275,R022,12/7/25,71.98,0.16,14
T000276,R024,12/2/25,94.15,0,6
T000277,R004,12/3/25,29.15,0,4
T000278,R028,12/17/25,41.75,0.08,9
T000279,R015,12/5/25,89.51,0.02,7
T000280,R001,12/17/25,42.99,3.29,9
T000281,R023,12/24/25,5.79,2.34,10
T000282,R003,12/17/25,30.05,0.46,3
T000283,R014,12/27/25,32.66,0,1
T000284,R006,12/17/25,19.32,0.75,5
T000285,R018,12/2/25,46.67,0,3
T000286,R025,12/2/25,95.33,1.52,6
T000287,R001,12/28/25,90.93,0,8
T000288,R006,12/22/25,20.98,0,11
T000289,R006,12/23/25,4.21,0.11,13
T000290,R021,12/5/25,712.02,0,4
T000291,R016,12/1/25,63.9,2.53,5
T000292,R029,12/1/25,4.66,0.54,5
T000293,R005,12/19/25,88.77,0.03,4
T000294,R017,12/30/25,71.38,0.15,4
T000295,R010,12/2/25,25.6,3.61,4
T000296,R028,12/21/25,31.31,0.49,4
T000297,R021,12/12/25,78.17,6.27,4
T000298,R018,12/26/25,1.97,1.03,5
T000299,R007,12/6/25,49.48,1.83,2
T000300,R003,12/23/25,56.83,0.4,2
T000301,R013,12/4/25,0.16,0,9
T000302,R015,12/23/25,14.2,1.67,2
T000303,R020,12/11/25,17.77,2.61,6
T000304,R019,12/24/25,26.98,1.08,2
T000305,R003,12/27/25,88.34,0.79,5
T000306,R004,12/17/25,14.88,0,4
T000307,R005,12/31/25,14.91,6.05,12
T000308,R001,12/6/25,46.81,0,7
T000309,R004,12/24/25,21.07,0.61,7
T000310,R012,12/5/25,36.29,14.99,13
T000311,R028,12/20/25,21.08,1.29,6
T000312,R027,12/2/25,5.31,0,10
T000313,R024,12/6/25,6.79,0,5
T000314,R010,12/22/25,24.15,0,1
T000315,R023,12/11/25,19,1.12,12
T000316,R025,12/31/25,86.22,0.14,3
T000317,R021,12/16/25,52.18,1.02,9
T000318,R029,12/16/25,30.41,0,14
T000319,R026,12/1/25,35.01,0.45,1
T000320,R020,12/9/25,0.46,0.65,5
T000321,R024,12/28/25,38.12,0,2
T000322,R025,12/27/25,6.86,0.61,4
T000323,R013,12/6/25,113.61,1,14
T000324,R023,12/16/25,5.63,0,14
T000325,R014,12/29/25,18.74,0,11
T000326,R023,12/3/25,3.12,0.14,1
T000327,R005,12/20/25,201.88,0.38,3
T000328,R004,12/28/25,24.41,2.29,10
T000329,R014,12/27/25,31.67,1.09,7
T000330,R010,12/4/25,2.43,0,10
T000331,R017,12/19/25,48.51,2.96,3
T000332,R010,12/26/25,8.25,2.07,4
T000333,R026,12/3/25,79.92,1.97,2
T000334,R007,12/31/25,24.8,9.1,3
T000335,R016,12/19/25,7.4,0,9
T000336,R001,12/20/25,1.3,1.97,3
T000337,R017,12/7/25,22.36,0.86,11
T000338,R021,12/20/25,139.41,4.49,5
T000339,R029,12/9/25,2.38,0,2
T000340,R009,12/1/25,52.29,2.62,4
T000341,R006,12/8/25,21.13,1.12,12
T000342,R019,12/7/25,26.01,0.34,13
T000343,R013,12/18/25,20.34,1.38,7
T000344,R003,12/8/25,17.92,0,14
T000345,R007,12/1/25,114.85,10.55,7
T000346,R022,12/11/25,5.9,0,12
T000347,R009,12/28/25,7.03,0.32,3
T000348,R022,12/25/25,69.26,0.15,5
T000349,R005,12/25/25,102.23,2.27,1
T000350,R010,12/18/25,16.36,1.79,10
T000351,R023,12/23/25,11.05,0.25,10
T000352,R017,12/31/25,36.15,0,10
T000353,R012,12/30/25,75.75,6.18,11
T000354,R023,12/10/25,0.9,1.85,1
T000355,R016,12/3/25,5.94,1.37,5
T000356,R003,12/7/25,44.05,1.56,13
T000357,R030,12/28/25,37.65,0.99,10
T000358,R025,12/16/25,0.96,0,9
T000359,R022,12/26/25,8.78,1.46,1
T000360,R009,12/16/25,9.2,2.04,1
T000361,R029,12/25/25,39,2.17,4
T000362,R015,12/20/25,0.7,1.77,4
T000363,R005,12/28/25,3.85,2,2
T000364,R023,12/17/25,56.32,0.18,9
T000365,R013,12/2/25,6.88,0,14
T000366,R014,12/1/25,37.02,0.01,9
T000367,R020,12/16/25,9.52,0.4,13
T000368,R015,12/30/25,3.67,1.81,13
T000369,R016,12/12/25,9.75,5.05,2
T000370,R023,12/5/25,44.84,0,14
T000371,R013,12/5/25,67.75,0.54,9
T000372,R017,12/27/25,62.06,0,6
T000373,R023,12/23/25,17.71,0.24,8
T000374,R008,12/9/25,38.6,1.13,10
T000375,R021,12/9/25,38.33,5.63,13
T000376,R002,12/3/25,46.62,4.6,13
T000377,R005,12/19/25,79.33,0,4
T000378,R006,12/16/25,0.46,0,2
T000379,R012,12/16/25,14.24,0,2
T000380,R018,12/3/25,8.16,1.13,9
T000381,R030,12/20/25,0.94,0.01,1
T000382,R022,12/24/25,7.01,2,12
T000383,R022,12/22/25,30.62,0.06,7
T000384,R001,12/24/25,19.15,0,11
T000385,R030,12/1/25,78.12,0.24,14
T000386,R017,12/24/25,59.52,5.55,3
T000387,R030,12/20/25,14.64,0.8,3
T000388,R011,12/11/25,10.51,0.69,2
T000389,R010,12/17/25,16.71,0.23,14
T000390,R019,12/8/25,31.23,0,10
T000391,R014,12/4/25,10.92,3.66,6
T000392,R026,12/6/25,34.25,0,13
T000393,R010,12/8/25,18.43,0.64,10
T000394,R015,12/20/25,28.11,1.04,2
T000395,R028,12/30/25,20.05,1.79,10
T000396,R019,12/3/25,12.21,3.04,4
T000397,R004,12/16/25,103.78,0,10
T000398,R002,12/30/25,179.47,1.91,9
T000399,R009,12/25/25,5.28,0.74,9
T000400,R010,12/3/25,71,2.08,6
T000401,R028,12/25/25,23.39,0,13
T000402,R011,12/29/25,78.73,1.35,4
T000403,R014,12/18/25,56.31,0,7
T000404,R007,12/14/25,91.4,6.62,14
T000405,R023,12/18/25,0.8,0.17,1
T000406,R015,12/2/25,10.95,0,12
T000407,R022,12/22/25,27.3,0.69,4
T000408,R019,12/3/25,35.13,1.44,5
T000409,R022,12/16/25,10.44,0.12,8
T000410,R015,12/29/25,5.25,1.52,12
T000411,R030,12/9/25,63.05,1.15,2
T000412,R028,12/4/25,145.62,0,12
T000413,R024,12/1/25,26.11,0,5
T000414,R008,12/4/25,6.59,0,6
T000415,R011,12/1/25,11.13,1.72,5
T000416,R029,12/14/25,0.65,0.33,13
T000417,R009,12/21/25,85.99,3.05,9
T000418,R015,12/16/25,4.38,0,10
T000419,R001,12/20/25,30.07,0.11,1
T000420,R030,12/24/25,11.21,0.11,14
T000421,R001,12/8/25,28.27,0.57,3
T000422,R019,12/7/25,36.89,2.69,14
T000423,R003,12/3/25,61.97,1.29,2
T000424,R010,12/17/25,8.09,2.72,12
T000425,R008,12/1/25,0.39,0.76,13
T000426,R015,12/16/25,5.15,1.02,3
T000427,R010,12/12/25,80.6,0,10
T000428,R001,12/27/25,72.47,0.56,9
T000429,R029,12/19/25,31.84,0,13
T000430,R018,12/22/25,32.12,0.16,14
T000431,R002,12/23/25,162.8,1.11,9
T000432,R019,12/22/25,6.75,1.6,10
T000433,R013,12/14/25,86.04,1.4,2
T000434,R022,12/30/25,18.99,8.97,14
T000435,R001,12/6/25,16.91,3.79,3
T000436,R002,12/6/25,121.42,4.09,14
T000437,R029,12/13/25,1.68,0.96,4
T000438,R016,12/19/25,6.37,1.06,9
T000439,R015,12/22/25,46.88,0,3
T000440,R013,12/8/25,3.02,0,13
T000441,R016,12/27/25,32.35,0.74,7
T000442,R017,12/27/25,9.85,1.92,12
T000443,R021,12/2/25,58.98,1.51,3
T000444,R029,12/21/25,11.92,1.19,7
T000445,R029,12/30/25,15.38,0.93,7
T000446,R007,12/1/25,181.95,0,9
T000447,R024,12/28/25,12.34,0.47,2
T000448,R026,12/15/25,29.25,0,13
T000449,R017,12/1/25,22.62,0.03,6
T000450,R007,12/5/25,123.99,0.09,9
T000451,R013,12/28/25,96.67,0,12
T000452,R005,12/29/25,46.16,0.45,12
T000453,R026,12/16/25,8.47,1.02,2
T000454,R017,12/19/25,1.11,0,2
T000455,R003,12/4/25,10.65,0,13
T000456,R007,12/3/25,110.53,0.9,14
T000457,R026,12/17/25,1.85,0.98,5
T000458,R017,12/17/25,24.01,3.61,10
T000459,R007,12/12/25,116.83,6.77,10
T000460,R021,12/28/25,51.6,0.79,12
T000461,R001,12/30/25,51.58,2.84,10
T000462,R017,12/29/25,3.95,0.86,8
T000463,R030,12/14/25,2.73,0.92,11
T000464,R017,12/21/25,45.59,0,9
T000465,R011,12/6/25,23.95,0,2
T000466,R025,12/3/25,40.81,1.82,5
T000467,R027,12/28/25,19.97,1.2,14
T000468,R029,12/9/25,9.9,0.6,7
T000469,R003,12/5/25,59.84,2.29,6
T000470,R015,12/24/25,56.23,1.52,6
T000471,R029,12/29/25,41.53,0.3,7
T000472,R021,12/17/25,35.18,0,3
T000473,R011,12/14/25,31.23,0.2,13
T000474,R026,12/21/25,15.67,1.95,3
T000475,R028,12/31/25,3.36,0,10
T000476,R016,12/3/25,87.24,3.29,9
T000477,R025,12/28/25,5.15,0.08,14
T000478,R022,12/1/25,105.02,0.06,8
T000479,R028,12/20/25,20.67,0,5
T000480,R009,12/31/25,7.17,0.32,6
T000481,R024,12/29/25,27.32,0,11
T000482,R024,12/21/25,72.21,4.14,12
T000483,R001,12/23/25,46.12,0.5,10
T000484,R029,12/1/25,57.5,0,1
T000485,R025,12/3/25,37.63,1.99,10
T000486,R022,12/18/25,41.25,1.05,12
T000487,R016,12/25/25,66.21,1.57,1
T000488,R009,12/10/25,10.05,0,4
T000489,R019,12/31/25,23.53,0.7,2
T000490,R012,12/22/25,35.01,0.07,11
T000491,R019,12/26/25,153.84,0.09,7
T000492,R022,12/3/25,100.92,2.49,2
T000493,R009,12/8/25,1.41,0.21,10
T000494,R007,12/14/25,152.26,2.51,2
T000495,R014,12/24/25,90.78,0,5
T000496,R029,12/18/25,6.97,0.45,4
T000497,R019,12/15/25,29.37,0,8
T000498,R019,12/22/25,86.48,0.02,4
T000499,R002,12/23/25,4.24,0,14
T000500,R009,12/2/25,41.84,3.47,12
T000501,R013,12/31/25,12.35,0.86,6
T000502,R015,12/27/25,90.38,2.9,5
T000503,R003,12/10/25,123.99,0.06,11
T000504,R011,12/2/25,101.05,0.57,14
T000505,R021,12/26/25,103.12,0.61,2
T000506,R014,12/17/25,69.33,1.38,11
T000507,R030,12/8/25,65.15,4.18,13
T000508,R025,12/1/25,13.45,0.31,12
T000509,R008,12/9/25,61.8,0,14
T000510,R018,12/11/25,1.32,0.31,8
T000511,R019,12/22/25,31.75,0.87,2
T000512,R016,12/16/25,9.15,0.87,9
T000513,R002,12/7/25,14.86,9.14,9
T000514,R008,12/29/25,2.8,0.98,3
T000515,R022,12/10/25,41.71,0,4
T000516,R006,12/23/25,14.54,0.21,8
T000517,R012,12/26/25,135.95,0.58,9
T000518,R015,12/3/25,2.37,0,3
T000519,R025,12/18/25,13.26,0.4,5
T000520,R008,12/25/25,27.14,3.33,11
T000521,R004,12/24/25,54.74,0,8
T000522,R015,12/13/25,13.43,0,3
T000523,R028,12/28/25,34.41,0.21,7
T000524,R020,12/26/25,76,2.75,11
T000525,R025,12/7/25,33.49,0,8
T000526,R017,12/25/25,9.28,0.07,10
T000527,R013,12/4/25,0.86,1.72,11
T000528,R018,12/13/25,71.43,1.1,14
T000529,R002,12/20/25,2.58,0.31,3
T000530,R013,12/1/25,72.7,1.07,2
T000531,R013,12/8/25,26.35,0.7,10
T000532,R022,12/14/25,97.93,0,13
T000533,R015,12/16/25,56.12,5.1,7
T000534,R020,12/14/25,216.38,3.32,12
T000535,R029,12/12/25,15.12,1.55,9
T000536,R027,12/19/25,51.01,1.09,1
T000537,R010,12/23/25,17.99,0.93,3
T000538,R029,12/15/25,22.88,1.84,5
T000539,R003,12/28/25,34.56,1.38,3
T000540,R019,12/2/25,72.41,0.09,1
T000541,R003,12/2/25,144.91,0.75,7
T000542,R022,12/23/25,51.18,1.72,7
T000543,R014,12/31/25,18.93,0,10
T000544,R008,12/22/25,19.15,0.09,12
T000545,R027,12/19/25,46.82,2.16,8
T000546,R023,12/25/25,9.55,0,5
T000547,R030,12/26/25,4.1,0,10
T000548,R004,12/31/25,15.33,0.19,12
T000549,R027,12/30/25,11.85,0.56,5
T000550,R028,12/29/25,12.3,1.98,5
T000551,R020,12/22/25,9.31,1.03,1
T000552,R011,12/26/25,1.51,0.24,10
T000553,R026,12/26/25,0.63,2.21,5
T000554,R011,12/22/25,154,2.22,6
T000555,R027,12/17/25,19.54,2.15,13
T000556,R030,12/20/25,16.98,0.29,12
T000557,R011,12/10/25,39.84,1.05,1
T000558,R002,12/6/25,39.65,18.57,11
T000559,R030,12/15/25,104.82,2.07,7
T000560,R017,12/22/25,54.02,0,1
T000561,R009,12/11/25,3.28,0.09,11
T000562,R028,12/28/25,18.92,0,2
T000563,R028,12/5/25,73.95,2.52,2
T000564,R002,12/1/25,463.1,0,5
T000565,R029,12/8/25,22.05,0.96,14
T000566,R024,12/21/25,33.26,0.16,10
T000567,R015,12/28/25,6.4,0,13
T000568,R016,12/12/25,165.53,3.02,7
T000569,R025,12/12/25,9.22,0.5,1
T000570,R004,12/5/25,100.1,1.57,10
T000571,R008,12/7/25,36.71,4.67,1
T000572,R009,12/4/25,32.75,0.4,1
T000573,R026,12/6/25,25.16,0,6
T000574,R026,12/13/25,9.18,0.36,2
T000575,R005,12/20/25,6.8,2.76,1
T000576,R016,12/30/25,8.72,0.9,6
T000577,R013,12/15/25,7.22,1.76,14
T000578,R030,12/3/25,52.93,2.8,2
T000579,R007,12/23/25,65.91,1.79,6
T000580,R026,12/8/25,2.09,2.59,10
T000581,R020,12/20/25,121.7,0,8
T000582,R017,12/16/25,75.33,0.24,2
T000583,R003,12/13/25,91.97,1.67,11
T000584,R005,12/18/25,184.8,0,9
T000585,R019,12/28/25,6.69,0.53,8
T000586,R012,12/10/25,69.25,9.21,12
T000587,R029,12/30/25,49.69,4.14,10
T000588,R027,12/19/25,41.68,0.34,1
T000589,R007,12/17/25,28.01,7.71,7
T000590,R028,12/24/25,59.22,0,14
T000591,R009,12/31/25,8.9,0.24,13
T000592,R028,12/19/25,8.87,0.36,10
T000593,R006,12/28/25,26.95,0,6
T000594,R029,12/26/25,31.46,0,14
T000595,R026,12/23/25,30.37,0.17,6
T000596,R017,12/26/25,3.36,1.02,6
T000597,R016,12/5/25,73.48,0,6
T000598,R023,12/26/25,10.8,0.15,10
T000599,R003,12/21/25,4.85,3.75,7
T000600,R021,12/30/25,368.06,5.87,12
T000601,R026,12/23/25,109.05,0.74,3
T000602,R004,12/31/25,69.35,4.78,14
T000603,R010,12/9/25,58.04,0.76,6
T000604,R005,12/12/25,37.27,0,3
T000605,R021,12/21/25,105.56,4.2,7
T000606,R022,12/1/25,3.19,1.06,7
T000607,R030,12/26/25,18.38,0.32,8
T000608,R010,12/26/25,16.32,3.74,2
T000609,R012,12/1/25,39.79,1.06,9
T000610,R010,12/15/25,44.98,0.25,13
T000611,R029,12/2/25,23.97,0.02,5
T000612,R013,12/30/25,2.96,1.44,9
T000613,R011,12/22/25,8.7,1.05,10
T000614,R022,12/16/25,40.24,1.33,5
T000615,R016,12/25/25,2.77,0,7
T000616,R008,12/8/25,66.68,0.12,11
T000617,R008,12/13/25,23.92,0,9
T000618,R027,12/21/25,22.93,0,4
T000619,R025,12/1/25,31.41,2.73,2
T000620,R008,12/16/25,60.94,2.99,9
